area,price,from,to
NO2,2.1662,2022-09-20T11:00:00Z,2022-09-20T12:00:00Z
NO2,2.0236,2022-09-20T12:00:00Z,2022-09-20T13:00:00Z
NO2,2.3854,2022-09-20T13:00:00Z,2022-09-20T14:00:00Z
NO2,1.9051,2022-09-20T14:00:00Z,2022-09-20T15:00:00Z
NO2,1.6012,2022-09-20T15:00:00Z,2022-09-20T16:00:00Z
NO2,1.4889,2022-09-20T16:00:00Z,2022-09-20T17:00:00Z
NO2,2.8149,2022-09-20T17:00:00Z,2022-09-20T18:00:00Z
NO2,1.6065,2022-09-20T18:00:00Z,2022-09-20T19:00:00Z
NO2,2.5735,2022-09-20T19:00:00Z,2022-09-20T20:00:00Z
NO2,1.078,2022-09-20T20:00:00Z,2022-09-20T21:00:00Z
NO2,2.5646,2022-09-20T21:00:00Z,2022-09-20T22:00:00Z
NO1,2.6103,2022-09-19T22:00:00Z,2022-09-19T23:00:00Z
NO1,1.354,2022-09-19T23:00:00Z,2022-09-20T00:00:00Z
NO1,1.8996,2022-09-20T00:00:00Z,2022-09-20T01:00:00Z
NO1,1.2465,2022-09-20T01:00:00Z,2022-09-20T02:00:00Z
NO1,1.5524,2022-09-20T02:00:00Z,2022-09-20T03:00:00Z
NO1,2.5323,2022-09-20T03:00:00Z,2022-09-20T04:00:00Z
NO1,2.652,2022-09-20T04:00:00Z,2022-09-20T05:00:00Z
NO1,1.6655,2022-09-20T05:00:00Z,2022-09-20T06:00:00Z
NO1,2.9768,2022-09-20T06:00:00Z,2022-09-20T07:00:00Z
NO1,1.0515,2022-09-20T07:00:00Z,2022-09-20T08:00:00Z
NO1,1.7712,2022-09-20T08:00:00Z,2022-09-20T09:00:00Z
NO1,1.664,2022-09-20T09:00:00Z,2022-09-20T10:00:00Z
NO1,1.4299,2022-09-20T10:00:00Z,2022-09-20T11:00:00Z
NO1,1.0009,2022-09-20T11:00:00Z,2022-09-20T12:00:00Z
NO1,1.9436,2022-09-20T12:00:00Z,2022-09-20T13:00:00Z
NO1,1.1026,2022-09-20T13:00:00Z,2022-09-20T14:00:00Z
NO1,1.0315,2022-09-20T14:00:00Z,2022-09-20T15:00:00Z
NO1,2.8596,2022-09-20T15:00:00Z,2022-09-20T16:00:00Z
NO1,2.2837,2022-09-20T16:00:00Z,2022-09-20T17:00:00Z
NO1,2.3046,2022-09-20T17:00:00Z,2022-09-20T18:00:00Z
NO1,1.9923,2022-09-20T18:00:00Z,2022-09-20T19:00:00Z
NO1,2.0601,2022-09-20T19:00:00Z,2022-09-20T20:00:00Z
NO1,2.4827,2022-09-20T20:00:00Z,2022-09-20T21:00:00Z
NO1,1.288,2022-09-20T21:00:00Z,2022-09-20T22:00:00Z
NO2,2.411,2022-09-19T22:00:00Z,2022-09-19T23:00:00Z
NO2,1.6838,2022-09-19T23:00:00Z,2022-09-20T00:00:00Z
NO2,2.2829,2022-09-20T00:00:00Z,2022-09-20T01:00:00Z
NO2,1.5001,2022-09-20T01:00:00Z,2022-09-20T02:00:00Z
NO2,2.856,2022-09-20T02:00:00Z,2022-09-20T03:00:00Z
NO2,1.8636,2022-09-20T03:00:00Z,2022-09-20T04:00:00Z
NO2,1.4823,2022-09-20T04:00:00Z,2022-09-20T05:00:00Z
NO2,2.3679,2022-09-20T05:00:00Z,2022-09-20T06:00:00Z
NO2,2.524,2022-09-20T06:00:00Z,2022-09-20T07:00:00Z
NO2,1.1183,2022-09-20T07:00:00Z,2022-09-20T08:00:00Z
NO2,1.6725,2022-09-20T08:00:00Z,2022-09-20T09:00:00Z
NO2,2.758,2022-09-20T09:00:00Z,2022-09-20T10:00:00Z
NO2,2.7261,2022-09-20T10:00:00Z,2022-09-20T11:00:00Z
NO2,1.6969,2022-09-20T11:00:00Z,2022-09-20T12:00:00Z
NO2,1.8967,2022-09-20T12:00:00Z,2022-09-20T13:00:00Z
NO2,1.769,2022-09-20T13:00:00Z,2022-09-20T14:00:00Z
NO2,1.6318,2022-09-20T14:00:00Z,2022-09-20T15:00:00Z
NO2,1.6885,2022-09-20T15:00:00Z,2022-09-20T16:00:00Z
NO2,2.6522,2022-09-20T16:00:00Z,2022-09-20T17:00:00Z
NO2,1.0959,2022-09-20T17:00:00Z,2022-09-20T18:00:00Z
NO2,2.7348,2022-09-20T18:00:00Z,2022-09-20T19:00:00Z
NO2,1.6495,2022-09-20T19:00:00Z,2022-09-20T20:00:00Z
NO2,2.846,2022-09-20T20:00:00Z,2022-09-20T21:00:00Z
NO2,2.2009,2022-09-20T21:00:00Z,2022-09-20T22:00:00Z
NO1,1.5282,2022-09-19T22:00:00Z,2022-09-19T23:00:00Z
NO1,2.3774,2022-09-19T23:00:00Z,2022-09-20T00:00:00Z
NO1,1.4981,2022-09-20T00:00:00Z,2022-09-20T01:00:00Z
NO1,1.724,2022-09-20T01:00:00Z,2022-09-20T02:00:00Z
NO1,1.8452,2022-09-20T02:00:00Z,2022-09-20T03:00:00Z
NO1,2.4001,2022-09-20T03:00:00Z,2022-09-20T04:00:00Z
NO1,1.2867,2022-09-20T04:00:00Z,2022-09-20T05:00:00Z
NO1,1.2587,2022-09-20T05:00:00Z,2022-09-20T06:00:00Z
NO1,1.7213,2022-09-20T06:00:00Z,2022-09-20T07:00:00Z
NO1,1.5253,2022-09-20T07:00:00Z,2022-09-20T08:00:00Z
NO1,1.6507,2022-09-20T08:00:00Z,2022-09-20T09:00:00Z
NO1,2.8445,2022-09-20T09:00:00Z,2022-09-20T10:00:00Z
NO1,1.5772,2022-09-20T10:00:00Z,2022-09-20T11:00:00Z
NO1,1.6029,2022-09-20T11:00:00Z,2022-09-20T12:00:00Z
NO1,1.1501,2022-09-20T12:00:00Z,2022-09-20T13:00:00Z
NO1,1.564,2022-09-20T13:00:00Z,2022-09-20T14:00:00Z
NO1,2.7114,2022-09-20T14:00:00Z,2022-09-20T15:00:00Z
NO1,2.3181,2022-09-20T15:00:00Z,2022-09-20T16:00:00Z
NO1,2.2583,2022-09-20T16:00:00Z,2022-09-20T17:00:00Z
NO1,2.9348,2022-09-20T17:00:00Z,2022-09-20T18:00:00Z
NO1,1.528,2022-09-20T18:00:00Z,2022-09-20T19:00:00Z
NO1,2.5616,2022-09-20T19:00:00Z,2022-09-20T20:00:00Z
NO1,1.7602,2022-09-20T20:00:00Z,2022-09-20T21:00:00Z
NO1,1.1097,2022-09-20T21:00:00Z,2022-09-20T22:00:00Z
NO2,2.7275,2022-09-19T22:00:00Z,2022-09-19T23:00:00Z
NO2,2.8557,2022-09-19T23:00:00Z,2022-09-20T00:00:00Z
NO2,1.3693,2022-09-20T00:00:00Z,2022-09-20T01:00:00Z
NO2,1.0825,2022-09-20T01:00:00Z,2022-09-20T02:00:00Z
NO2,2.4395,2022-09-20T02:00:00Z,2022-09-20T03:00:00Z
NO2,1.6716,2022-09-20T03:00:00Z,2022-09-20T04:00:00Z
NO2,1.1698,2022-09-20T04:00:00Z,2022-09-20T05:00:00Z
NO2,1.1791,2022-09-20T05:00:00Z,2022-09-20T06:00:00Z
NO2,1.5063,2022-09-20T06:00:00Z,2022-09-20T07:00:00Z
NO2,2.923,2022-09-20T07:00:00Z,2022-09-20T08:00:00Z
NO2,1.3269,2022-09-20T08:00:00Z,2022-09-20T09:00:00Z
NO2,1.2649,2022-09-20T09:00:00Z,2022-09-20T10:00:00Z
NO2,2.0958,2022-09-20T10:00:00Z,2022-09-20T11:00:00Z
NO2,1.7032,2022-09-20T11:00:00Z,2022-09-20T12:00:00Z
NO2,1.4027,2022-09-20T12:00:00Z,2022-09-20T13:00:00Z
NO2,1.5926,2022-09-20T13:00:00Z,2022-09-20T14:00:00Z
NO2,2.4814,2022-09-20T14:00:00Z,2022-09-20T15:00:00Z
NO2,1.8916,2022-09-20T15:00:00Z,2022-09-20T16:00:00Z
NO2,2.3522,2022-09-20T16:00:00Z,2022-09-20T17:00:00Z
NO2,1.466,2022-09-20T17:00:00Z,2022-09-20T18:00:00Z
NO2,2.0876,2022-09-20T18:00:00Z,2022-09-20T19:00:00Z
NO2,2.1275,2022-09-20T19:00:00Z,2022-09-20T20:00:00Z
NO2,1.7714,2022-09-20T20:00:00Z,2022-09-20T21:00:00Z
NO2,1.3021,2022-09-20T21:00:00Z,2022-09-20T22:00:00Z
NO1,2.0507,2022-09-19T22:00:00Z,2022-09-19T23:00:00Z
NO1,1.0883,2022-09-19T23:00:00Z,2022-09-20T00:00:00Z
NO1,1.5844,2022-09-20T00:00:00Z,2022-09-20T01:00:00Z
NO1,1.9683,2022-09-20T01:00:00Z,2022-09-20T02:00:00Z
NO1,2.9354,2022-09-20T02:00:00Z,2022-09-20T03:00:00Z
NO1,2.7692,2022-09-20T03:00:00Z,2022-09-20T04:00:00Z
NO1,2.1751,2022-09-20T04:00:00Z,2022-09-20T05:00:00Z
NO1,1.3455,2022-09-20T05:00:00Z,2022-09-20T06:00:00Z
NO1,1.9546,2022-09-20T06:00:00Z,2022-09-20T07:00:00Z
NO1,1.3795,2022-09-20T07:00:00Z,2022-09-20T08:00:00Z
NO1,2.0628,2022-09-20T08:00:00Z,2022-09-20T09:00:00Z
NO1,1.4746,2022-09-20T09:00:00Z,2022-09-20T10:00:00Z
NO1,1.8082,2022-09-20T10:00:00Z,2022-09-20T11:00:00Z
NO1,2.6912,2022-09-20T11:00:00Z,2022-09-20T12:00:00Z
NO1,2.3821,2022-09-20T12:00:00Z,2022-09-20T13:00:00Z
NO1,2.7974,2022-09-20T13:00:00Z,2022-09-20T14:00:00Z
NO1,1.5879,2022-09-20T14:00:00Z,2022-09-20T15:00:00Z
NO1,2.6012,2022-09-20T15:00:00Z,2022-09-20T16:00:00Z
NO1,1.7422,2022-09-20T16:00:00Z,2022-09-20T17:00:00Z
NO1,1.9641,2022-09-20T17:00:00Z,2022-09-20T18:00:00Z
NO1,1.1306,2022-09-20T18:00:00Z,2022-09-20T19:00:00Z
NO1,1.4531,2022-09-20T19:00:00Z,2022-09-20T20:00:00Z
NO1,2.201,2022-09-20T20:00:00Z,2022-09-20T21:00:00Z
NO1,2.1593,2022-09-20T21:00:00Z,2022-09-20T22:00:00Z
NO2,2.6604,2022-09-19T22:00:00Z,2022-09-19T23:00:00Z
NO2,1.1482,2022-09-19T23:00:00Z,2022-09-20T00:00:00Z
NO2,2.4719,2022-09-20T00:00:00Z,2022-09-20T01:00:00Z
NO2,1.2354,2022-09-20T01:00:00Z,2022-09-20T02:00:00Z
NO2,1.4138,2022-09-20T02:00:00Z,2022-09-20T03:00:00Z
NO2,2.1998,2022-09-20T03:00:00Z,2022-09-20T04:00:00Z
NO2,2.3957,2022-09-20T04:00:00Z,2022-09-20T05:00:00Z
NO2,2.398,2022-09-20T05:00:00Z,2022-09-20T06:00:00Z
NO2,1.3259,2022-09-20T06:00:00Z,2022-09-20T07:00:00Z
NO2,1.5222,2022-09-20T07:00:00Z,2022-09-20T08:00:00Z
NO2,1.0165,2022-09-20T08:00:00Z,2022-09-20T09:00:00Z
NO2,2.1395,2022-09-20T09:00:00Z,2022-09-20T10:00:00Z
NO2,2.3882,2022-09-20T10:00:00Z,2022-09-20T11:00:00Z
NO2,2.9846,2022-09-20T11:00:00Z,2022-09-20T12:00:00Z
NO2,2.1485,2022-09-20T12:00:00Z,2022-09-20T13:00:00Z
NO2,2.5064,2022-09-20T13:00:00Z,2022-09-20T14:00:00Z
NO2,2.8201,2022-09-20T14:00:00Z,2022-09-20T15:00:00Z
NO2,1.2491,2022-09-20T15:00:00Z,2022-09-20T16:00:00Z
NO2,1.0992,2022-09-20T16:00:00Z,2022-09-20T17:00:00Z
NO2,2.3383,2022-09-20T17:00:00Z,2022-09-20T18:00:00Z
NO2,1.9896,2022-09-20T18:00:00Z,2022-09-20T19:00:00Z
NO2,1.7619,2022-09-20T19:00:00Z,2022-09-20T20:00:00Z
NO2,2.2719,2022-09-20T20:00:00Z,2022-09-20T21:00:00Z
NO2,1.0897,2022-09-20T21:00:00Z,2022-09-20T22:00:00Z
NO1,1.2778,2022-09-19T22:00:00Z,2022-09-19T23:00:00Z
NO1,2.6909,2022-09-19T23:00:00Z,2022-09-20T00:00:00Z
NO1,2.5445,2022-09-20T00:00:00Z,2022-09-20T01:00:00Z
NO1,1.6537,2022-09-20T01:00:00Z,2022-09-20T02:00:00Z
NO1,2.5488,2022-09-20T02:00:00Z,2022-09-20T03:00:00Z
NO1,2.8643,2022-09-20T03:00:00Z,2022-09-20T04:00:00Z
NO1,2.5238,2022-09-20T04:00:00Z,2022-09-20T05:00:00Z
NO1,2.5361,2022-09-20T05:00:00Z,2022-09-20T06:00:00Z
NO1,2.3386,2022-09-20T06:00:00Z,2022-09-20T07:00:00Z
NO1,2.8309,2022-09-20T07:00:00Z,2022-09-20T08:00:00Z
NO1,2.1794,2022-09-20T08:00:00Z,2022-09-20T09:00:00Z
NO1,1.1376,2022-09-20T09:00:00Z,2022-09-20T10:00:00Z
NO1,1.5725,2022-09-20T10:00:00Z,2022-09-20T11:00:00Z
NO1,1.6985,2022-09-20T11:00:00Z,2022-09-20T12:00:00Z
NO1,2.766,2022-09-20T12:00:00Z,2022-09-20T13:00:00Z
NO1,1.6678,2022-09-20T13:00:00Z,2022-09-20T14:00:00Z
NO1,1.9693,2022-09-20T14:00:00Z,2022-09-20T15:00:00Z
NO1,1.8816,2022-09-20T15:00:00Z,2022-09-20T16:00:00Z
NO1,1.7453,2022-09-20T16:00:00Z,2022-09-20T17:00:00Z
NO1,1.9618,2022-09-20T17:00:00Z,2022-09-20T18:00:00Z
NO1,1.2163,2022-09-20T18:00:00Z,2022-09-20T19:00:00Z
NO1,2.0865,2022-09-20T19:00:00Z,2022-09-20T20:00:00Z
NO1,1.7443,2022-09-20T20:00:00Z,2022-09-20T21:00:00Z
NO1,1.3226,2022-09-20T21:00:00Z,2022-09-20T22:00:00Z
NO2,2.0965,2022-09-19T22:00:00Z,2022-09-19T23:00:00Z
NO2,2.4221,2022-09-19T23:00:00Z,2022-09-20T00:00:00Z
NO2,1.4831,2022-09-20T00:00:00Z,2022-09-20T01:00:00Z
NO2,2.6486,2022-09-20T01:00:00Z,2022-09-20T02:00:00Z
NO2,1.5358,2022-09-20T02:00:00Z,2022-09-20T03:00:00Z
NO2,2.2799,2022-09-20T03:00:00Z,2022-09-20T04:00:00Z
NO2,2.2638,2022-09-20T04:00:00Z,2022-09-20T05:00:00Z
NO2,1.8789,2022-09-20T05:00:00Z,2022-09-20T06:00:00Z
NO2,2.9714,2022-09-20T06:00:00Z,2022-09-20T07:00:00Z
NO2,2.4465,2022-09-20T07:00:00Z,2022-09-20T08:00:00Z
NO2,2.1503,2022-09-20T08:00:00Z,2022-09-20T09:00:00Z
NO2,2.9001,2022-09-20T09:00:00Z,2022-09-20T10:00:00Z
NO2,2.0678,2022-09-20T10:00:00Z,2022-09-20T11:00:00Z
NO2,1.5142,2022-09-20T11:00:00Z,2022-09-20T12:00:00Z
NO2,1.1924,2022-09-20T12:00:00Z,2022-09-20T13:00:00Z
NO2,1.6569,2022-09-20T13:00:00Z,2022-09-20T14:00:00Z
NO2,2.3874,2022-09-20T14:00:00Z,2022-09-20T15:00:00Z
NO2,2.229,2022-09-20T15:00:00Z,2022-09-20T16:00:00Z
NO2,1.5661,2022-09-20T16:00:00Z,2022-09-20T17:00:00Z
NO2,1.4613,2022-09-20T17:00:00Z,2022-09-20T18:00:00Z
NO2,2.6837,2022-09-20T18:00:00Z,2022-09-20T19:00:00Z
NO2,2.7529,2022-09-20T19:00:00Z,2022-09-20T20:00:00Z
NO2,2.1871,2022-09-20T20:00:00Z,2022-09-20T21:00:00Z
NO2,1.7435,2022-09-20T21:00:00Z,2022-09-20T22:00:00Z
NO1,1.4632,2022-09-19T22:00:00Z,2022-09-19T23:00:00Z
NO1,2.752,2022-09-19T23:00:00Z,2022-09-20T00:00:00Z
NO1,2.9031,2022-09-20T00:00:00Z,2022-09-20T01:00:00Z
NO1,1.4995,2022-09-20T01:00:00Z,2022-09-20T02:00:00Z
NO1,2.2223,2022-09-20T02:00:00Z,2022-09-20T03:00:00Z
NO1,2.8838,2022-09-20T03:00:00Z,2022-09-20T04:00:00Z
NO1,1.0385,2022-09-20T04:00:00Z,2022-09-20T05:00:00Z
NO1,2.9563,2022-09-20T05:00:00Z,2022-09-20T06:00:00Z
NO1,1.3567,2022-09-20T06:00:00Z,2022-09-20T07:00:00Z
NO1,1.5115,2022-09-20T07:00:00Z,2022-09-20T08:00:00Z
NO1,1.7187,2022-09-20T08:00:00Z,2022-09-20T09:00:00Z
NO1,1.511,2022-09-20T09:00:00Z,2022-09-20T10:00:00Z
NO1,2.2533,2022-09-20T10:00:00Z,2022-09-20T11:00:00Z
NO1,1.2757,2022-09-20T11:00:00Z,2022-09-20T12:00:00Z
NO1,1.5261,2022-09-20T12:00:00Z,2022-09-20T13:00:00Z
NO1,1.4222,2022-09-20T13:00:00Z,2022-09-20T14:00:00Z
NO1,2.0183,2022-09-20T14:00:00Z,2022-09-20T15:00:00Z
NO1,2.9686,2022-09-20T15:00:00Z,2022-09-20T16:00:00Z
NO1,1.2282,2022-09-20T16:00:00Z,2022-09-20T17:00:00Z
NO1,1.3621,2022-09-20T17:00:00Z,2022-09-20T18:00:00Z
NO1,1.7734,2022-09-20T18:00:00Z,2022-09-20T19:00:00Z
NO1,2.69,2022-09-20T19:00:00Z,2022-09-20T20:00:00Z
NO1,1.6595,2022-09-20T20:00:00Z,2022-09-20T21:00:00Z
NO1,1.0351,2022-09-20T21:00:00Z,2022-09-20T22:00:00Z
NO2,1.7852,2022-09-19T22:00:00Z,2022-09-19T23:00:00Z
NO2,2.3167,2022-09-19T23:00:00Z,2022-09-20T00:00:00Z
NO2,2.5685,2022-09-20T00:00:00Z,2022-09-20T01:00:00Z
NO2,1.9607,2022-09-20T01:00:00Z,2022-09-20T02:00:00Z
NO2,2.5264,2022-09-20T02:00:00Z,2022-09-20T03:00:00Z
NO2,2.7982,2022-09-20T03:00:00Z,2022-09-20T04:00:00Z
NO2,1.0706,2022-09-20T04:00:00Z,2022-09-20T05:00:00Z
NO2,2.8777,2022-09-20T05:00:00Z,2022-09-20T06:00:00Z
NO2,1.1028,2022-09-20T06:00:00Z,2022-09-20T07:00:00Z
NO2,2.8318,2022-09-20T07:00:00Z,2022-09-20T08:00:00Z
NO2,1.9056,2022-09-20T08:00:00Z,2022-09-20T09:00:00Z
NO2,2.747,2022-09-20T09:00:00Z,2022-09-20T10:00:00Z
NO2,1.045,2022-09-20T10:00:00Z,2022-09-20T11:00:00Z
NO2,1.0931,2022-09-20T11:00:00Z,2022-09-20T12:00:00Z
NO2,2.5408,2022-09-20T12:00:00Z,2022-09-20T13:00:00Z
NO2,1.145,2022-09-20T13:00:00Z,2022-09-20T14:00:00Z
NO2,1.2939,2022-09-20T14:00:00Z,2022-09-20T15:00:00Z
NO2,2.0595,2022-09-20T15:00:00Z,2022-09-20T16:00:00Z
NO2,1.0165,2022-09-20T16:00:00Z,2022-09-20T17:00:00Z
NO2,1.5101,2022-09-20T17:00:00Z,2022-09-20T18:00:00Z
NO2,2.0994,2022-09-20T18:00:00Z,2022-09-20T19:00:00Z
NO2,1.7725,2022-09-20T19:00:00Z,2022-09-20T20:00:00Z
NO2,1.4411,2022-09-20T20:00:00Z,2022-09-20T21:00:00Z
NO2,1.1539,2022-09-20T21:00:00Z,2022-09-20T22:00:00Z
NO1,1.9065,2022-09-19T22:00:00Z,2022-09-19T23:00:00Z
NO1,1.2635,2022-09-19T23:00:00Z,2022-09-20T00:00:00Z
NO1,1.6142,2022-09-20T00:00:00Z,2022-09-20T01:00:00Z
NO1,1.1788,2022-09-20T01:00:00Z,2022-09-20T02:00:00Z
NO1,1.4446,2022-09-20T02:00:00Z,2022-09-20T03:00:00Z
NO1,2.0941,2022-09-20T03:00:00Z,2022-09-20T04:00:00Z
NO1,2.461,2022-09-20T04:00:00Z,2022-09-20T05:00:00Z
NO1,1.0243,2022-09-20T05:00:00Z,2022-09-20T06:00:00Z
NO1,1.6959,2022-09-20T06:00:00Z,2022-09-20T07:00:00Z
NO1,1.467,2022-09-20T07:00:00Z,2022-09-20T08:00:00Z
NO1,2.769,2022-09-20T08:00:00Z,2022-09-20T09:00:00Z
NO1,2.9536,2022-09-20T09:00:00Z,2022-09-20T10:00:00Z
NO1,1.2731,2022-09-20T10:00:00Z,2022-09-20T11:00:00Z
NO1,2.3885,2022-09-20T11:00:00Z,2022-09-20T12:00:00Z
NO1,1.0665,2022-09-20T12:00:00Z,2022-09-20T13:00:00Z
NO1,1.2042,2022-09-20T13:00:00Z,2022-09-20T14:00:00Z
NO1,1.0265,2022-09-20T14:00:00Z,2022-09-20T15:00:00Z
NO1,1.2984,2022-09-20T15:00:00Z,2022-09-20T16:00:00Z
NO1,1.3631,2022-09-20T16:00:00Z,2022-09-20T17:00:00Z
NO1,2.413,2022-09-20T17:00:00Z,2022-09-20T18:00:00Z
NO1,2.3432,2022-09-20T18:00:00Z,2022-09-20T19:00:00Z
NO1,2.77,2022-09-20T19:00:00Z,2022-09-20T20:00:00Z
NO1,2.5558,2022-09-20T20:00:00Z,2022-09-20T21:00:00Z
NO1,2.0879,2022-09-20T21:00:00Z,2022-09-20T22:00:00Z
NO2,2.8019,2022-09-19T22:00:00Z,2022-09-19T23:00:00Z
NO2,1.2358,2022-09-19T23:00:00Z,2022-09-20T00:00:00Z
NO2,2.0386,2022-09-20T00:00:00Z,2022-09-20T01:00:00Z
NO2,2.1522,2022-09-20T01:00:00Z,2022-09-20T02:00:00Z
NO2,2.0637,2022-09-20T02:00:00Z,2022-09-20T03:00:00Z
NO2,2.6107,2022-09-20T03:00:00Z,2022-09-20T04:00:00Z
NO2,1.7197,2022-09-20T04:00:00Z,2022-09-20T05:00:00Z
NO2,2.4917,2022-09-20T05:00:00Z,2022-09-20T06:00:00Z
NO2,2.5313,2022-09-20T06:00:00Z,2022-09-20T07:00:00Z
NO2,1.7469,2022-09-20T07:00:00Z,2022-09-20T08:00:00Z
NO2,1.91,2022-09-20T08:00:00Z,2022-09-20T09:00:00Z
NO2,2.3344,2022-09-20T09:00:00Z,2022-09-20T10:00:00Z
NO2,2.3558,2022-09-20T10:00:00Z,2022-09-20T11:00:00Z
NO2,1.5575,2022-09-20T11:00:00Z,2022-09-20T12:00:00Z
NO2,2.1871,2022-09-20T12:00:00Z,2022-09-20T13:00:00Z
NO2,1.6895,2022-09-20T13:00:00Z,2022-09-20T14:00:00Z
NO2,1.6116,2022-09-20T14:00:00Z,2022-09-20T15:00:00Z
NO2,1.0885,2022-09-20T15:00:00Z,2022-09-20T16:00:00Z
NO2,1.1625,2022-09-20T16:00:00Z,2022-09-20T17:00:00Z
NO2,1.2424,2022-09-20T17:00:00Z,2022-09-20T18:00:00Z
NO2,1.6422,2022-09-20T18:00:00Z,2022-09-20T19:00:00Z
NO2,2.3321,2022-09-20T19:00:00Z,2022-09-20T20:00:00Z
NO2,1.8732,2022-09-20T20:00:00Z,2022-09-20T21:00:00Z
NO2,1.3886,2022-09-20T21:00:00Z,2022-09-20T22:00:00Z
NO1,1.2478,2022-09-19T22:00:00Z,2022-09-19T23:00:00Z
NO1,1.0869,2022-09-19T23:00:00Z,2022-09-20T00:00:00Z
NO1,1.2705,2022-09-20T00:00:00Z,2022-09-20T01:00:00Z
NO1,2.0079,2022-09-20T01:00:00Z,2022-09-20T02:00:00Z
NO1,2.0198,2022-09-20T02:00:00Z,2022-09-20T03:00:00Z
NO1,2.8224,2022-09-20T03:00:00Z,2022-09-20T04:00:00Z
NO1,1.5972,2022-09-20T04:00:00Z,2022-09-20T05:00:00Z
NO1,2.9271,2022-09-20T05:00:00Z,2022-09-20T06:00:00Z
NO1,2.3825,2022-09-20T06:00:00Z,2022-09-20T07:00:00Z
NO1,1.1285,2022-09-20T07:00:00Z,2022-09-20T08:00:00Z
NO1,1.0661,2022-09-20T08:00:00Z,2022-09-20T09:00:00Z
NO1,2.5623,2022-09-20T09:00:00Z,2022-09-20T10:00:00Z
NO1,2.9477,2022-09-20T10:00:00Z,2022-09-20T11:00:00Z
NO1,2.4495,2022-09-20T11:00:00Z,2022-09-20T12:00:00Z
NO1,1.437,2022-09-20T12:00:00Z,2022-09-20T13:00:00Z
NO1,1.4193,2022-09-20T13:00:00Z,2022-09-20T14:00:00Z
NO1,1.8145,2022-09-20T14:00:00Z,2022-09-20T15:00:00Z
NO1,2.159,2022-09-20T15:00:00Z,2022-09-20T16:00:00Z
NO1,1.9769,2022-09-20T16:00:00Z,2022-09-20T17:00:00Z
NO1,1.4665,2022-09-20T17:00:00Z,2022-09-20T18:00:00Z
NO1,1.9892,2022-09-20T18:00:00Z,2022-09-20T19:00:00Z
NO1,1.4896,2022-09-20T19:00:00Z,2022-09-20T20:00:00Z
NO1,1.486,2022-09-20T20:00:00Z,2022-09-20T21:00:00Z
